"Date","FromCurrencyId","ToCurrencyId","ToCurrencySysname","EuroRate"
2024-10-05,2,6,MXN,0.0470172
2024-10-05,2,7,SEK,0.0882029
2024-10-05,2,8,NOK,0.0855835
2024-10-05,2,9,HUF,0.0024917
2024-10-05,2,10,CAD,0.6688068
2024-10-05,2,11,BRL,0.1650982
2024-10-05,2,12,PEN,0.2488000
2024-10-05,2,13,CLP,0.0009908
2024-10-05,2,14,INR,0.0107980
2024-10-05,2,15,NZD,0.5624613
2024-10-05,2,16,ALL,0.0094000
2024-10-05,2,17,COP,0.0002000
2024-10-04,2,1,USD,0.9067005
2024-10-04,2,2,EUR,1.0000000
2024-10-04,2,3,GBP,1.1942437
2024-10-04,2,4,JPY,0.0061847
2024-10-04,2,5,AUD,0.6203089
2024-10-04,2,6,MXN,0.0470172
2024-10-04,2,7,SEK,0.0882029
2024-10-04,2,8,NOK,0.0855835
2024-10-04,2,9,HUF,0.0024917
2024-10-04,2,10,CAD,0.6688068
2024-10-04,2,11,BRL,0.1650982
2024-10-04,2,12,PEN,0.2488000
2024-10-04,2,13,CLP,0.0009908
